dataset,chars,words,sentences,emojis,emoticons,urls,emails,mentions,repeated_chars,teencode,english_tokens,phrase_hits
processed,321,56,2,0,0,0,0,0,0,1,2,0
processed,870,172,10,0,0,0,0,0,0,2,14,0
processed,691,144,6,0,0,0,0,0,0,1,10,0
processed,66,14,1,0,0,0,0,0,0,0,2,0
processed,306,63,8,0,0,0,0,0,0,2,4,1
processed,492,107,3,0,0,0,0,0,0,3,17,0
processed,347,59,4,0,0,0,0,0,0,1,3,0
processed,484,88,1,0,0,0,0,0,0,1,8,0
processed,1320,258,6,0,0,0,0,0,0,4,15,0
processed,504,115,7,0,0,0,0,0,0,4,6,0
processed,68,13,1,0,0,0,0,0,0,0,1,0
processed,358,78,8,0,0,0,0,0,0,1,6,1
processed,84,18,1,0,0,0,0,0,0,0,1,0
processed,523,92,1,0,0,0,0,0,0,1,11,0
processed,92,24,3,0,0,0,0,0,0,2,1,0
processed,48,7,1,0,0,0,0,0,0,0,0,0
processed,365,70,5,0,0,0,0,0,0,0,5,0
processed,98,22,1,0,0,0,0,0,0,0,2,0
processed,119,22,2,0,0,0,0,0,0,0,2,0
processed,226,47,2,0,0,0,0,0,0,1,7,0
processed,188,41,6,0,0,0,0,0,0,0,5,0
processed,404,81,6,0,0,0,0,0,0,0,4,1
processed,198,35,4,0,0,0,0,0,0,0,7,2
processed,323,70,8,0,0,0,0,0,0,2,9,0
processed,14,3,1,0,0,0,0,0,0,0,0,0
processed,180,42,1,0,0,0,0,0,0,2,6,0
processed,62,16,1,0,0,0,0,0,0,0,4,0
processed,59,11,1,0,0,0,0,0,0,0,2,0
processed,1189,248,21,0,0,0,0,0,0,1,20,1
processed,370,73,3,0,0,0,0,0,0,0,6,0
processed,536,112,2,0,0,0,0,0,0,0,6,0
processed,793,141,4,0,0,0,0,0,0,2,8,0
processed,34,7,1,0,0,0,0,0,0,0,1,0
processed,256,59,3,0,0,0,0,0,0,1,4,0
processed,360,68,6,0,0,0,0,0,0,1,9,0
processed,57,12,1,0,0,0,0,0,0,0,2,0
processed,151,35,2,1,0,0,0,0,0,0,4,0
processed,399,78,4,0,0,0,0,0,0,0,6,0
processed,547,102,6,0,0,0,0,0,0,0,5,0
processed,189,35,1,0,0,0,0,0,0,0,5,0
processed,102,20,1,0,0,0,0,0,0,0,4,0
processed,247,54,7,0,0,0,0,0,0,0,4,1
processed,430,82,3,0,0,0,0,0,0,0,3,0
processed,203,49,3,0,0,0,0,0,0,0,1,0
processed,257,46,3,0,0,0,0,0,0,0,2,0
processed,554,128,13,0,0,0,0,0,0,3,13,0
processed,148,23,1,0,0,0,0,0,0,0,1,0
processed,442,78,6,0,0,0,0,0,0,0,5,1
processed,426,94,4,0,0,0,0,0,0,3,9,0
processed,112,21,1,0,0,0,0,0,0,1,0,0
processed,487,106,8,0,0,0,0,0,0,3,9,0
processed,962,189,16,4,0,0,0,0,0,2,13,1
processed,208,46,2,0,0,0,0,0,0,0,1,0
processed,883,182,9,0,0,0,0,0,0,1,15,1
processed,87,17,2,0,0,0,0,0,0,0,1,0
processed,123,29,1,0,0,0,0,0,0,0,0,0
processed,188,39,6,0,0,0,0,0,0,0,2,0
processed,79,15,2,0,0,0,0,0,0,0,3,0
processed,7,2,1,0,0,0,0,0,0,0,0,0
processed,54,11,1,0,0,0,0,0,0,0,1,0
processed,129,28,1,0,0,0,0,0,0,0,4,0
processed,224,37,1,0,0,0,0,0,0,0,4,0
processed,514,105,5,0,0,0,0,0,0,1,6,0
processed,277,56,7,0,0,0,0,0,0,1,4,0
processed,45,9,2,0,0,0,0,0,0,0,0,0
processed,647,136,8,0,0,0,0,0,0,0,10,0
processed,603,120,5,0,0,0,0,0,0,3,7,0
processed,269,50,4,0,0,0,0,0,0,0,2,0
processed,1507,299,20,0,0,0,0,0,1,0,21,0
processed,901,190,13,0,0,0,0,0,0,2,20,0
processed,223,49,4,0,0,0,0,0,0,1,4,0
processed,514,100,11,0,0,0,0,0,0,1,6,0
processed,123,25,2,0,0,0,0,0,0,0,1,0
processed,163,34,3,0,0,0,0,0,0,1,4,0
processed,1622,333,13,0,0,0,0,0,0,2,19,0
processed,99,22,3,0,0,0,0,0,0,0,0,0
processed,154,31,1,0,0,0,0,0,0,0,2,0
processed,251,52,3,0,0,0,0,0,0,0,3,0
processed,956,216,15,0,0,0,0,0,0,3,22,0
processed,1324,262,17,0,0,0,0,0,0,1,21,0
processed,97,19,1,0,0,0,0,0,0,0,2,0
processed,414,74,4,0,0,0,0,0,0,3,5,0
processed,764,131,2,0,0,0,0,0,1,1,14,0
processed,60,13,1,0,0,0,0,0,0,0,1,0
processed,625,132,7,1,0,0,0,0,0,0,12,0
processed,188,36,1,0,0,0,0,0,0,0,5,0
processed,732,151,11,0,0,0,0,0,0,2,10,0
processed,447,94,1,0,0,0,0,0,0,2,5,0
processed,180,42,1,0,0,0,0,0,0,0,4,0
processed,330,62,4,0,0,0,0,0,0,1,4,0
processed,532,110,8,0,0,0,0,0,0,0,5,0
processed,193,39,2,0,0,0,0,0,0,0,3,0
processed,305,54,5,0,0,0,0,0,0,0,1,0
processed,452,88,6,0,0,0,0,0,0,1,3,0
processed,4,1,1,0,0,0,0,0,0,0,1,0
processed,1427,313,21,0,0,0,0,0,0,2,17,0
processed,1660,346,11,2,0,0,0,0,0,1,26,0
processed,293,52,1,0,0,0,0,0,0,0,6,0
processed,229,44,3,0,0,0,0,0,0,0,1,0
processed,499,102,3,0,0,0,0,0,0,0,8,0
processed,317,60,6,0,0,0,0,0,0,0,2,0
processed,159,30,1,0,0,0,0,0,0,2,4,0
processed,83,12,1,0,0,0,0,0,0,0,0,0
processed,75,13,1,0,0,0,0,0,0,0,0,0
processed,249,49,1,0,0,0,0,0,0,0,9,1
processed,962,197,8,0,0,0,0,0,0,4,20,1
processed,467,107,5,0,0,0,0,0,0,2,8,0
processed,478,98,7,0,0,0,0,0,0,2,6,0
processed,502,102,5,0,0,0,0,0,0,3,14,0
processed,406,84,6,0,0,0,0,0,0,0,4,0
processed,530,113,5,0,0,0,0,0,0,2,5,0
processed,716,158,8,0,0,0,0,0,0,1,14,0
processed,371,67,6,0,0,0,0,0,0,0,2,0
processed,519,115,7,0,0,0,0,0,0,2,14,0
processed,473,87,3,0,0,0,0,0,0,0,10,0
processed,516,105,4,3,0,0,0,0,0,0,6,0
processed,493,106,11,0,0,0,0,0,0,0,8,0
processed,607,123,10,0,0,0,0,0,0,0,10,0
processed,161,31,1,0,0,0,0,0,0,0,5,0
processed,73,15,2,0,0,0,0,0,0,0,0,0
processed,55,12,1,0,0,0,0,0,0,0,3,0
processed,305,57,5,0,0,0,0,0,0,1,6,0
processed,428,88,5,0,0,0,0,0,0,4,6,0
processed,655,122,5,0,0,0,0,0,0,0,5,0
processed,295,62,7,0,0,0,0,0,0,1,6,0
processed,192,46,2,0,0,0,0,0,0,0,3,0
processed,485,89,6,0,0,0,0,0,0,2,4,0
processed,2040,439,20,0,0,0,0,0,0,0,29,0
processed,443,77,8,0,0,0,0,0,0,0,3,0
processed,204,49,3,0,0,0,0,0,0,4,6,0
processed,466,98,14,0,0,0,0,0,0,1,12,0
processed,230,47,3,0,0,0,0,0,0,0,2,0
processed,373,76,9,0,0,0,0,0,0,0,8,1
processed,786,174,8,0,0,0,0,0,0,1,11,0
processed,488,102,12,0,0,0,0,0,0,4,19,0
processed,826,157,4,6,0,0,0,0,0,1,4,0
processed,506,98,1,0,0,0,0,0,0,1,8,0
processed,117,24,3,0,0,0,0,0,0,1,0,0
processed,271,52,3,0,0,0,0,0,0,1,3,0
processed,649,117,3,0,0,0,0,0,0,1,10,0
processed,260,50,3,0,0,0,0,0,0,1,8,0
processed,189,41,3,0,0,0,0,0,0,2,2,0
processed,8,2,1,0,0,0,0,0,0,0,1,0
processed,503,99,7,0,0,0,0,0,0,0,7,0
processed,190,38,1,0,0,0,0,0,0,0,2,0
processed,521,103,14,0,0,0,0,0,0,1,6,0
processed,319,57,3,0,0,0,0,0,0,0,4,0
processed,253,46,3,0,0,0,0,0,0,0,3,0
processed,268,56,7,0,0,0,0,0,0,2,1,0
processed,210,41,4,0,0,0,0,0,0,1,4,0
processed,901,168,11,0,0,0,0,0,0,0,9,0
processed,282,51,5,0,0,0,0,0,0,0,3,0
processed,194,30,1,0,0,0,0,0,0,1,4,0
processed,63,12,1,0,0,0,0,0,0,0,1,0
processed,193,40,1,0,0,0,0,0,0,0,3,0
processed,38,8,1,0,0,0,0,0,0,0,3,0
processed,566,113,3,0,0,0,0,0,0,0,11,0
processed,233,35,1,0,0,0,0,0,0,0,3,0
processed,100,19,1,0,0,0,0,0,0,0,3,0
processed,1227,256,9,0,0,0,0,0,0,1,9,0
processed,352,65,3,0,0,0,0,0,0,0,4,0
processed,281,58,4,0,0,0,0,0,0,2,3,0
processed,149,30,3,0,0,0,0,0,0,0,2,0
